Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:42:07     all    1.25    0.00    9.02    0.00    0.00   25.81    0.00    0.00    0.00   63.91
13:42:08     all    1.77    0.00    7.34    0.00    0.00   25.82    0.00    0.00    0.00   65.06
13:42:09     all    1.50    0.00    8.25    0.00    0.00   26.00    0.00    0.00    0.00   64.25
13:42:10     all    1.27    0.00    7.38    0.00    0.00   26.21    0.00    0.00    0.00   65.14
13:42:11     all    0.50    0.00    8.71    0.00    0.00   25.62    0.00    0.00    0.00   65.17
13:42:12     all    1.01    0.00    6.06    0.00    0.00   25.25    0.00    0.00    0.00   67.68
13:42:13     all    1.75    0.00    6.00    0.00    0.00   25.25    0.00    0.00    0.00   67.00
13:42:14     all    1.01    0.00    7.81    0.00    0.00   25.69    0.00    0.00    0.00   65.49
13:42:15     all    1.28    0.00    7.14    0.00    0.00   25.77    0.00    0.00    0.00   65.82
13:42:16     all    1.26    0.00    7.56    0.00    0.00   25.19    0.00    0.00    0.00   65.99
13:42:17     all    1.26    0.00    7.56    0.00    0.00   25.44    0.00    0.00    0.00   65.74
13:42:18     all    1.74    0.00    8.93    0.00    0.00   25.56    0.00    0.00    0.00   63.77
13:42:19     all    2.28    0.00    9.14    0.00    0.00   25.63    0.00    0.00    0.00   62.94
13:42:20     all    2.02    0.00    6.82    0.00    0.00   25.51    0.00    0.00    0.00   65.66
13:42:21     all    1.25    0.00    7.75    0.00    0.00   25.25    0.00    0.00    0.00   65.75
13:42:22     all    0.75    0.00    6.03    0.00    0.00   25.13    0.00    0.00    0.00   68.09
13:42:23     all    0.76    0.00    4.80    0.25    0.00   25.25    0.00    0.00    0.00   68.94
13:42:24     all    1.50    0.00    6.52    0.00    0.00   25.56    0.00    0.00    0.00   66.42
13:42:25     all    0.75    0.00    6.22    0.00    0.00   24.88    0.25    0.00    0.00   67.91
13:42:26     all    1.23    0.00    7.41    0.00    0.00   25.19    0.00    0.00    0.00   66.17
13:42:27     all    1.49    0.00    6.44    0.00    0.00   25.00    0.00    0.00    0.00   67.08
13:42:28     all    1.27    0.00    4.82    0.00    0.00   25.38    0.00    0.00    0.00   68.53
13:42:29     all    1.01    0.00    4.81    0.00    0.00   25.32    0.00    0.00    0.00   68.86
13:42:30     all    1.24    0.00    6.20    0.00    0.00   25.31    0.00    0.00    0.00   67.25
13:42:31     all    1.76    0.00    5.78    0.00    0.00   25.13    0.00    0.00    0.00   67.34
13:42:32     all    3.02    0.00    5.04    0.00    0.00   25.19    0.00    0.00    0.00   66.75
13:42:33     all    1.50    0.00    6.52    0.00    0.00   25.06    0.00    0.00    0.00   66.92
13:42:34     all    1.50    0.00    6.50    0.00    0.00   25.50    0.00    0.00    0.00   66.50
13:42:35     all    0.50    0.00    4.77    0.00    0.00   25.38    0.00    0.00    0.00   69.35
