Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:35:33     all    2.51    0.00    2.76    0.50    0.00    0.25    0.00    0.00    0.00   93.98
15:35:34     all    1.28    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.68
15:35:35     all    1.76    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   96.98
15:35:36     all    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
15:35:37     all    2.52    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   95.72
15:35:38     all    1.77    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.21
15:35:39     all    2.24    0.00    2.74    0.00    0.00    0.00    0.00    0.00    0.00   95.01
15:35:40     all    2.52    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.21
15:35:41     all    2.03    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.19
15:35:42     all    2.51    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.24
15:35:43     all    2.04    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.18
15:35:44     all    1.52    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.72
15:35:45     all    1.25    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   97.00
15:35:46     all    1.75    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   96.75
15:35:47     all    2.27    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   95.97
15:35:48     all    0.00    0.00    0.50    0.25    0.00    0.00    0.00    0.00    0.00   99.25
15:35:49     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.24
